Player Rank,Position,Players,PPG,RPG,APG,SPG,BPG,FGM,FGA,FG %,2PM,2PA,2PT%,3PM,3PA,3PT %,FTM,Scoring Rating,Rebound Rating,Assist Rating,Steal Rating,Block Rating,Efficiency Rating,2-Pointer Rating,3-Pointer Rating,Overall Rating,Title
1,PF,Giannis Antetokounmpo,32.3,9.5,7.8,3.6,3.8,13.9,15.6,0.9,10.2,11.1,0.9,3.7,4.5,0.8,2.4,30.4,27.3,28.3,31.1,23.8,26.7,29.4,25.1,111.10,G.O.A.T
2,SG,Michael Jordan,35.2,5.2,8.3,3.4,1.3,14.3,16.3,0.9,10.4,11.4,0.9,3.9,4.9,0.8,2.3,32.3,19.0,23.8,21.1,11.3,27.5,36.8,18.8,95.35,G.O.A.T
3,SF,Larry Bird,30.0,7.4,8.9,0.6,2.1,10.9,12.0,0.9,3.8,3.8,1.0,7.2,8.2,0.9,0.7,27.0,24.1,28.9,4.4,15.8,21.0,11.6,44.8,88.80,Superstar
4,SF,Kevin Durant,34.8,7.0,6.0,1.3,1.3,13.8,15.7,0.9,8.7,9.8,0.9,5.1,5.9,0.9,2.0,31.6,22.7,19.4,10.1,10.1,26.5,23.9,31.5,87.83,Superstar
5,C,David Robinson,27.3,12.6,5.3,1.4,3.6,11.7,13.1,0.9,9.6,10.1,1.0,2.1,3.0,0.7,1.8,25.6,31.6,21.0,13.6,18.0,22.5,28.9,13.6,87.40,Superstar
6,SF,Kawhi Leonard,29.9,6.1,5.2,2.6,1.6,12.6,14.3,0.9,7.7,8.6,0.9,4.8,5.7,0.8,1.6,27.1,20.0,16.8,19.7,11.9,24.2,21.8,29.2,85.27,Superstar
7,SF,LeBron James,28.0,6.9,9.1,1.5,1.5,11.4,13.1,0.9,7.8,8.7,0.9,3.5,4.5,0.8,1.9,25.5,22.4,29.6,11.1,11.3,21.8,22.1,19.9,81.81,Superstar
8,PG,James Harden,28.5,5.2,11.3,2.3,1.1,10.8,12.5,0.9,6.1,6.7,0.9,4.7,5.8,0.8,2.5,26.7,20.8,28.3,11.5,11.0,20.8,21.7,23.0,81.81,Superstar
9,PF,Evan Mobley,25.8,9.2,5.4,0.6,3.6,10.5,12.2,0.9,7.2,8.0,0.9,3.3,4.2,0.8,1.7,23.2,26.6,19.6,4.9,22.6,20.2,20.3,21.1,79.22,Superstar
10,PF,Kevin Garnett,24.4,9.6,4.7,1.7,2.7,10.9,11.7,0.9,9.7,10.2,1.0,1.2,1.5,0.8,1.5,23.7,27.5,16.9,14.8,16.7,21.0,29.1,7.8,78.74,Superstar
11,C,Nikola Jokic,18.0,12.3,10.2,0.6,3.1,7.5,8.9,0.8,6.5,7.3,0.9,1.0,1.5,0.7,1.7,16.6,30.7,40.9,5.9,15.7,14.5,17.9,6.5,74.34,Superstar
12,C,Shaquille O'Neal,24.3,10.5,3.8,0.8,3.5,10.9,11.7,0.9,10.2,10.7,1.0,0.7,1.0,0.7,1.9,23.9,26.2,15.1,8.3,17.7,20.9,30.2,4.7,73.51,Superstar
13,SG,John Havlicek,20.2,5.6,8.4,4.0,0.8,7.8,8.7,0.9,3.7,3.8,1.0,4.1,4.8,0.9,0.6,18.1,20.3,24.3,24.9,6.9,15.0,13.7,21.1,72.07,Superstar
14,PG,LaMelo Ball,20.5,4.3,10.8,5.0,0.7,7.6,8.6,0.9,3.4,3.7,0.9,4.2,4.9,0.9,0.9,18.6,17.3,27.0,24.8,7.1,14.7,12.5,21.7,71.83,Superstar
15,C,Karl-Anthony Towns,23.9,9.2,4.1,1.1,2.5,9.6,11.8,0.8,6.0,6.7,0.9,3.6,5.1,0.7,1.2,20.0,23.0,16.2,10.5,12.5,18.4,16.8,23.8,70.56,All - Star
16,PF,Zion Williamson,25.2,7.0,3.7,0.5,2.0,10.3,10.8,1.0,7.2,7.4,1.0,3.1,3.4,0.9,1.7,25.1,20.1,13.4,4.4,12.5,19.8,21.9,23.5,70.32,All - Star
17,C,Hakeem Olajuwon,20.3,9.9,5.9,0.6,4.0,9.0,10.0,0.9,8.3,8.8,0.9,0.7,1.2,0.6,2.0,19.9,24.8,23.8,5.9,19.8,17.3,24.4,4.1,69.97,All - Star
18,C,Dwight Howard,23.0,10.5,5.3,0.5,3.6,9.9,12.0,0.8,8.9,10.3,0.9,1.0,1.7,0.6,1.5,19.9,26.3,21.2,5.0,18.0,19.0,24.0,5.7,69.56,All - Star
19,SG,Paul George,27.7,5.1,4.8,2.4,1.0,10.7,13.1,0.8,5.5,6.5,0.9,5.2,6.6,0.8,0.9,22.7,18.4,13.9,14.7,8.8,20.6,14.8,23.9,68.84,All - Star
20,C,Joel Embiid,22.8,9.3,3.7,0.6,2.9,10.2,11.3,0.9,8.4,8.6,1.0,1.8,2.7,0.7,1.3,21.3,23.3,14.8,6.0,14.5,19.6,25.6,11.4,68.25,All - Star
21,C,Wilt Chamberlain,18.8,11.0,4.5,0.6,4.5,8.6,9.1,0.9,8.2,8.6,1.0,0.4,0.5,0.8,1.0,18.3,27.5,18.0,5.8,22.4,16.6,24.5,3.4,68.19,All - Star
22,SG,Dwyane Wade,26.1,4.5,6.2,1.9,1.1,10.3,12.0,0.9,5.7,6.5,0.9,4.6,5.5,0.8,0.7,22.3,16.4,17.9,12.0,9.4,19.8,15.7,22.6,68.05,All - Star
23,PF,Dirk Nowitzki,22.1,8.5,3.8,0.4,2.9,9.6,10.8,0.9,6.9,7.3,0.9,2.7,3.5,0.8,0.9,19.8,24.4,13.9,3.8,18.4,18.4,20.4,16.9,67.95,All - Star
24,SF,George Gervin,27.4,5.7,4.2,0.7,1.1,11.2,13.4,0.8,6.6,7.4,0.9,4.5,6.1,0.7,1.9,24.1,20.7,12.0,4.1,9.9,21.4,23.3,20.2,67.79,All - Star
25,PF,Danny Granger,21.4,7.2,4.3,1.1,1.8,8.1,8.9,0.9,3.8,3.9,1.0,4.3,5.0,0.9,0.3,18.8,20.7,15.6,9.2,11.3,15.5,11.3,31.1,66.72,All - Star
26,PF,Ben Simmons,16.8,6.8,10.9,1.1,1.5,6.6,7.9,0.8,4.8,5.4,0.9,1.8,2.5,0.7,1.1,14.6,19.6,39.5,9.6,9.4,12.7,16.7,10.6,66.31,All - Star
27,PG,Kyrie Irving,27.5,2.7,4.3,4.0,0.5,10.6,12.2,0.9,5.3,5.8,0.9,5.3,6.4,0.8,1.1,24.1,10.8,10.7,20.1,5.3,20.4,15.3,25.8,66.30,All - Star
28,PF,Grant Hill,21.0,4.7,5.1,2.1,1.9,8.6,9.6,0.9,6.4,6.8,0.9,2.2,2.7,0.8,1.3,19.7,13.6,18.6,18.3,11.7,16.6,19.0,14.4,65.88,All - Star
29,PG,Penny Hardaway,14.8,4.9,9.8,5.0,0.9,5.9,6.9,0.8,3.1,3.5,0.9,2.8,3.4,0.8,0.4,12.4,19.5,24.4,25.0,9.0,11.3,8.5,13.4,61.74,All - Star
30,C,Ralph Samson,13.4,11.6,5.3,0.3,4.8,6.3,6.7,0.9,5.9,6.0,1.0,0.4,0.6,0.6,1.0,13.3,29.0,21.1,3.2,23.9,12.1,18.1,2.0,61.30,All - Star
31,SF,Carmelo Anthony,25.3,4.2,3.7,1.3,0.5,10.3,12.0,0.9,6.2,6.7,0.9,4.1,5.2,0.8,1.1,22.1,13.6,11.9,9.8,3.6,19.7,17.8,22.5,60.48,All - Star
32,SG,Luka Doncic,21.3,4.0,8.3,1.8,0.5,8.0,9.2,0.9,3.7,3.8,1.0,4.3,5.4,0.8,1.1,19.0,16.0,20.8,9.0,5.0,15.4,14.1,20.5,59.87,All - Star
33,PF,Anthony Davis,20.3,7.6,3.9,0.4,2.1,8.5,10.1,0.8,5.8,6.7,0.9,2.7,3.4,0.8,0.8,17.2,21.9,14.1,3.5,13.1,16.4,15.8,17.5,59.77,All - Star
34,C,Deandre Ayton,17.0,9.3,3.3,1.1,3.2,7.3,8.4,0.9,5.9,6.4,0.9,1.4,2.0,0.7,0.4,14.6,23.3,13.1,10.7,16.2,14.1,17.1,9.2,59.09,All - Star
35,PG,Chris Paul,15.0,2.7,10.9,4.7,0.5,5.8,6.3,0.9,2.9,3.0,0.9,2.9,3.3,0.9,0.6,13.8,10.7,27.2,23.6,5.0,11.1,8.6,15.1,57.52,All - Star
36,C,Pau Gasol,16.4,10.4,4.8,0.1,4.1,6.1,6.9,0.9,5.1,5.3,1.0,1.0,1.6,0.6,0.8,14.9,26.0,19.2,1.0,20.5,11.7,15.3,6.0,57.33,All - Star
37,PG,John Wall,16.4,2.8,9.4,4.3,0.8,6.5,7.6,0.9,3.8,4.0,0.9,2.7,3.5,0.8,0.7,14.3,11.1,23.6,21.3,7.7,12.6,11.2,12.6,57.13,All - Star
38,SF,Elgin Baylor,23.2,3.3,4.1,1.4,0.4,9.1,10.8,0.8,4.8,5.5,0.9,4.3,5.3,0.8,0.9,19.9,10.7,13.3,10.5,3.0,17.5,13.1,24.5,56.22,All - Star
39,SG,Devin Booker,20.9,2.7,4.8,2.5,0.8,8.3,9.6,0.9,4.3,4.8,0.9,4.0,4.8,0.8,0.4,17.7,9.7,13.8,15.5,7.4,15.9,12.0,19.6,55.80,All - Star
40,SG,Anthony Edwards,20.4,4.7,4.0,1.7,0.7,8.9,10.4,0.9,6.0,6.9,0.9,2.9,3.5,0.8,0.5,17.3,17.0,11.5,10.6,6.1,17.1,16.3,14.3,55.15,All - Star
41,PF,Bol Bol,17.8,6.9,3.7,0.8,1.8,7.4,8.6,0.9,5.1,5.4,0.9,2.3,3.2,0.7,0.6,15.3,19.7,13.3,6.8,11.3,14.2,14.7,14.3,54.83,All - Star
42,PG,Jason Kidd,11.3,5.3,7.9,4.9,0.6,4.3,5.2,0.8,1.8,2.1,0.9,2.4,3.2,0.8,0.3,9.2,21.1,19.7,24.6,5.5,8.2,5.0,11.2,52.25,All - Star
43,SG,Allen Iverson,19.3,2.4,5.0,3.1,0.3,7.6,9.5,0.8,4.2,4.9,0.9,3.4,4.6,0.7,0.6,15.5,8.7,14.4,19.4,2.6,14.6,14.1,14.8,52.02,All - Star
44,SG,Jalen Green,21.3,3.5,3.8,1.7,0.5,8.0,9.5,0.8,3.3,3.8,0.9,4.7,5.7,0.8,0.7,17.9,12.6,10.9,10.7,4.4,15.3,8.8,22.9,51.69,All - Star
45,PF,Jonathan Isaac,11.1,6.9,4.1,1.4,3.3,5.0,5.9,0.8,4.1,4.6,0.9,0.9,1.3,0.7,0.3,9.4,19.7,14.9,12.4,20.9,9.6,11.6,4.8,51.60,All - Star
46,PF,LaMarcus Aldridge,17.5,7.2,3.0,0.5,1.9,7.3,8.8,0.8,5.6,6.2,0.9,1.7,2.6,0.6,1.2,15.3,20.7,10.9,4.4,11.9,14.0,15.8,9.2,51.08,All - Star
47,SG,Reggie Miller,19.5,1.9,5.2,2.8,0.4,7.1,9.0,0.8,2.1,2.7,0.8,5.0,6.3,0.8,0.4,15.4,6.9,15.0,17.5,3.5,13.7,6.6,23.3,50.91,All - Star
48,PF,Boris Diaw,16.1,5.3,4.5,0.5,1.3,6.3,7.4,0.8,2.8,2.8,1.0,3.5,4.6,0.8,0.4,13.5,15.2,16.5,4.6,8.1,12.0,8.7,21.8,50.13,All - Star
49,C,DeMarcus Cousins,16.0,7.1,3.1,0.8,1.3,7.0,7.9,0.9,5.4,5.8,0.9,1.6,2.1,0.8,0.7,14.5,17.8,12.5,7.7,6.4,13.5,15.7,11.6,49.84,All - Star
50,C,DeAndre Jordan,15.0,9.6,2.0,0.2,3.3,6.9,7.7,0.9,6.5,6.9,0.9,0.4,0.8,0.6,0.7,13.8,24.0,8.0,2.0,16.5,13.3,19.1,2.2,49.41,All - Star
51,SF,Richard Jefferson,19.4,3.4,3.2,1.0,0.7,7.4,9.0,0.9,3.1,3.9,0.8,4.3,5.2,0.8,0.4,16.3,11.1,10.4,7.5,5.3,14.2,8.0,25.2,48.93,All - Star
52,C,Nicolas Batum,10.4,5.9,5.6,1.0,2.6,4.3,4.8,0.9,2.8,2.9,1.0,1.5,1.9,0.8,0.3,9.2,14.7,22.6,10.0,13.2,8.2,8.3,11.4,48.74,All - Star
53,PG,Derrick Rose,16.4,2.9,6.1,2.6,0.5,6.4,7.6,0.8,4.2,4.7,0.9,2.2,2.9,0.8,1.2,14.6,11.6,15.3,13.0,5.0,12.3,14.7,9.8,48.12,All - Star
54,PG,Russell Westbrook,14.1,3.2,7.8,2.9,0.4,5.7,7.0,0.8,3.5,3.8,0.9,2.2,3.2,0.7,0.5,11.5,12.8,19.5,14.5,4.0,11.0,12.6,9.2,47.53,All - Star
55,SF,Jalen Johnson,17.4,4.3,3.7,0.8,0.9,6.7,7.9,0.8,3.4,3.8,0.9,3.3,4.1,0.8,0.8,15.1,13.9,12.0,5.8,6.4,12.9,9.6,18.8,47.22,All - Star
56,C,Rudy Gobert,11.8,8.8,3.2,0.4,3.6,5.4,6.1,0.9,5.0,5.4,0.9,0.4,0.8,0.5,0.7,10.9,22.1,12.8,3.6,17.8,10.4,14.6,2.1,47.15,All - Star
57,PF,Jonathan Kuminga,15.4,4.9,4.1,0.7,0.9,6.1,7.1,0.9,3.5,4.0,0.9,2.6,3.1,0.8,0.8,13.6,14.1,14.9,6.1,5.6,11.7,9.6,18.0,46.81,All - Star
58,PG,Isiah Thomas,10.8,2.8,10.2,3.6,0.4,4.1,4.8,0.8,2.1,2.3,0.9,1.9,2.5,0.8,0.3,9.0,11.2,25.5,18.0,4.0,7.8,7.6,8.8,45.92,All - Star
59,SG,Jaylen Brown,19.6,2.5,3.2,1.0,0.4,7.1,8.1,0.9,1.9,2.0,0.9,5.2,6.0,0.9,0.3,16.7,9.1,9.2,6.3,3.3,13.6,6.7,26.6,45.68,All - Star
60,SF,Jimmy Butler,17.1,3.7,4.3,0.7,0.5,6.8,8.1,0.8,3.7,4.2,0.9,3.1,3.9,0.8,0.4,14.3,11.9,13.8,5.1,3.8,13.1,10.3,17.3,44.83,All - Star
61,PF,Andrei Kirilenko,15.3,5.2,4.2,0.6,1.2,6.5,8.7,0.8,4.7,6.3,0.7,1.8,2.4,0.8,0.6,11.7,15.0,15.2,5.3,7.5,12.5,11.0,11.4,44.72,All - Star
62,SG,J.R Smith,17.5,3.2,4.0,0.8,0.5,6.4,7.3,0.9,2.4,2.5,0.9,4.0,4.8,0.8,0.4,15.1,11.5,11.5,5.1,4.7,12.3,8.8,20.2,44.63,All - Star
63,SF,Robert Covington,17.3,3.4,3.3,0.5,0.8,6.5,7.5,0.9,3.0,3.3,0.9,3.5,4.2,0.8,0.8,15.3,11.1,10.7,3.8,6.0,12.5,8.5,20.5,44.19,All - Star
64,C,Zydrunas Ilgauskas,11.6,7.1,3.4,0.6,1.9,5.0,5.5,0.9,3.7,3.7,1.0,1.3,1.8,0.8,0.4,10.6,17.8,13.6,6.0,9.5,9.6,11.6,9.4,44.00,All - Star
65,C,Yao Ming,13.7,7.3,3.3,0.3,1.8,6.3,7.0,0.9,6.0,6.5,0.9,0.3,0.5,0.7,0.8,12.7,18.3,13.2,3.0,9.0,12.1,17.1,2.1,43.75,All - Star
66,PF,Antawn Jamison,15.3,4.3,2.9,0.2,1.2,6.0,7.0,0.9,2.6,2.9,0.9,3.4,4.1,0.8,0.3,12.9,12.4,10.5,1.8,7.5,11.5,7.3,23.3,43.57,All - Star
67,PG,Walt Frazier,17.0,2.4,7.2,1.7,0.2,6.6,9.0,0.7,4.1,5.9,0.7,2.5,3.1,0.8,1.1,13.2,9.6,18.0,8.5,2.0,12.7,11.3,11.8,43.55,All - Star
68,PF,Bobby Portis,11.6,6.9,3.1,0.3,2.5,4.7,5.8,0.8,3.1,3.4,0.9,1.6,2.4,0.7,0.4,9.6,19.7,11.3,2.6,15.7,9.1,9.0,9.2,43.10,All - Star
69,PG,Jerry West,11.1,2.9,9.8,2.6,0.2,4.2,5.1,0.8,2.0,2.2,0.9,2.2,2.9,0.8,0.6,9.5,11.6,24.5,13.0,2.0,8.1,7.1,9.9,42.84,All - Star
70,PF,Brook Lopez,12.5,6.6,2.6,0.3,2.4,5.1,6.0,0.8,3.6,4.0,0.9,1.5,2.0,0.7,0.6,10.8,18.9,9.5,2.4,15.1,9.7,10.1,9.0,42.81,All - Star
71,PF,Blake Griffin,12.8,6.7,3.5,0.4,1.5,5.7,7.0,0.8,4.7,5.7,0.8,1.0,1.3,0.8,0.4,10.2,19.3,12.7,3.5,9.4,11.0,11.8,7.1,42.45,All - Star
72,PF,Tobias Harris,12.7,4.3,3.0,1.2,1.0,5.0,5.5,0.9,2.9,3.1,0.9,2.1,2.4,0.9,0.3,11.3,12.4,11.0,10.7,6.3,9.6,8.5,14.8,42.27,All - Star
73,PG,Ayo Dosunmu,9.3,3.5,5.9,3.8,0.6,3.4,3.9,0.9,1.4,1.4,1.0,2.0,2.5,0.8,0.1,7.9,14.1,14.7,19.2,5.8,6.6,5.3,9.9,41.74,All - Star
74,PG,Rajon Rondo,7.4,2.9,7.6,4.5,0.6,2.8,3.2,0.9,1.4,1.5,0.9,1.4,1.7,0.8,0.3,6.6,11.6,19.0,22.5,6.0,5.4,5.1,6.9,41.57,All - Star
75,PG,Gilbert Arenas,14.2,2.2,5.3,3.0,0.3,5.5,7.2,0.8,2.3,2.7,0.9,3.2,4.5,0.7,0.4,10.9,8.8,13.3,15.0,3.0,10.6,7.7,13.6,41.37,All - Star
76,SF,Scottie Pippen,12.3,4.5,5.4,0.7,0.8,4.8,5.5,0.9,2.9,3.2,0.9,1.9,2.3,0.8,0.5,10.9,14.6,17.5,5.1,5.7,9.3,8.4,11.3,41.36,All - Star
77,SF,Michael Beasley,12.3,3.7,5.4,1.0,0.7,5.1,6.0,0.9,4.0,4.5,0.9,1.1,1.5,0.8,0.8,11.2,12.0,17.6,7.5,5.3,9.8,10.9,6.2,40.21,All - Star
78,PF,Julius Randle,10.4,3.9,4.9,1.1,0.9,4.4,5.0,0.9,3.2,3.3,1.0,1.2,1.7,0.7,0.5,9.4,11.2,17.8,9.6,5.6,8.5,9.5,7.3,39.45,All - Star
79,PF,Kevin McHale,12.9,5.8,2.9,0.3,1.3,6.0,6.9,0.9,5.7,6.5,0.9,0.3,0.4,0.7,0.6,11.5,16.7,10.5,2.6,8.1,11.5,15.6,1.8,39.18,All - Star
80,SG,Lonnie Walker IV,15.3,1.7,3.3,1.2,0.4,5.7,6.3,0.9,2.2,2.4,0.9,3.5,3.9,0.9,0.4,13.7,6.2,9.5,7.5,3.5,11.0,7.9,18.8,39.00,All - Star
81,SF,Jeff Green,13.3,4.2,3.6,0.5,0.7,5.1,5.9,0.9,2.9,2.9,1.0,2.2,3.0,0.7,0.9,12.1,13.8,11.8,4.1,5.4,9.8,9.1,11.6,38.78,All - Star
82,SF,Jayson Tatum,14.6,4.2,2.5,0.7,0.9,6.1,8.0,0.7,4.1,5.6,0.7,2.0,2.5,0.8,0.5,11.0,13.7,8.1,5.3,6.8,11.7,9.6,11.4,38.74,All - Star
83,PF,Draymond Green,8.6,3.6,6.3,0.8,1.4,3.4,4.4,0.8,1.9,2.5,0.8,1.5,1.9,0.8,0.4,6.7,10.4,22.8,7.0,8.8,6.5,4.5,10.0,38.37,All - Star
84,PG,Tre Mann,10.9,2.9,5.0,2.9,0.2,4.1,4.9,0.8,1.2,1.6,0.8,2.9,3.3,0.9,0.3,9.2,11.6,12.5,14.5,2.0,7.9,3.5,15.2,38.18,All - Star
85,SG,Tracy McGrady,15.4,2.5,3.7,0.8,0.5,6.2,8.0,0.8,3.8,4.9,0.8,2.4,3.1,0.8,0.5,12.8,9.1,10.6,5.0,4.4,11.9,11.8,10.6,38.13,All - Star
86,SF,Julius Erving,15.0,2.3,2.9,1.1,0.4,6.0,7.0,0.8,3.5,3.6,0.9,2.6,3.4,0.8,0.4,12.5,7.5,9.4,8.3,3.0,11.5,10.2,13.8,38.07,All - Star
87,PG,Isaiah Thomas,13.6,2.1,5.0,2.4,0.3,5.0,6.3,0.8,2.8,2.9,1.0,2.2,3.4,0.6,0.9,11.4,8.4,12.5,12.0,3.0,9.6,10.6,8.4,37.95,All - Star
88,PF,Chris Bosh,11.6,5.9,2.2,0.3,1.5,4.9,5.7,0.9,3.1,3.3,0.9,1.8,2.4,0.7,0.5,10.0,17.0,7.8,2.6,9.4,9.3,9.1,10.6,37.93,All - Star
89,SF,Rudy Gay,13.9,4.4,4.0,0.3,0.3,5.7,7.0,0.8,3.8,4.7,0.8,1.9,2.3,0.8,0.6,11.8,14.3,13.0,2.3,2.3,11.0,9.5,11.4,37.72,All - Star
90,PG,Jalen Suggs,13.2,2.0,4.6,2.4,0.4,4.9,5.8,0.8,1.8,2.1,0.8,3.1,3.7,0.8,0.2,10.7,7.8,11.6,11.9,3.5,9.3,4.7,15.1,37.33,All - Star
91,PG,Andre Miller,6.9,3.5,7.3,2.4,0.7,2.8,3.0,0.9,2.2,2.3,1.0,0.6,0.7,0.9,0.4,6.4,14.0,18.3,12.0,7.0,5.4,8.3,2.9,37.16,All - Star
92,SG,Rudy Fernandez,14.9,1.7,3.4,1.1,0.4,5.4,6.2,0.9,1.7,1.9,0.9,3.7,4.3,0.9,0.2,12.6,6.2,9.8,6.9,3.5,10.4,5.9,19.1,37.13,All - Star
93,PG,Gary Payton,8.1,2.3,5.5,3.1,1.1,3.2,4.0,0.8,1.6,1.9,0.9,1.6,2.1,0.8,0.2,6.5,9.0,13.8,15.7,11.4,6.2,4.5,7.1,37.09,All - Star
94,PF,Dino Radja,12.3,6.1,2.7,0.5,1.3,4.3,5.0,0.9,3.2,3.3,1.0,1.1,1.7,0.7,1.1,11.5,15.3,10.8,5.0,6.5,8.3,9.7,7.0,36.98,All - Star
95,C,Dikembe Mutombo,9.5,7.4,3.1,0.3,2.0,4.5,5.0,0.9,4.5,4.9,0.9,0.0,0.1,0.7,0.5,8.5,18.5,12.4,3.0,10.0,8.7,12.6,0.3,36.97,All - Star
96,SG,Klay Thompson,16.3,2.3,2.3,0.7,0.4,5.9,7.3,0.8,1.7,2.1,0.8,4.2,5.2,0.8,0.2,13.0,8.4,6.7,4.5,3.8,11.4,5.3,20.8,36.96,All - Star
97,C,Bam Adebayo,7.9,7.1,3.8,0.4,2.2,3.2,3.8,0.8,2.4,2.7,0.9,0.8,1.1,0.8,0.7,7.2,17.8,15.2,4.0,11.0,6.2,6.7,5.8,36.90,All - Star
98,SF,Trevor Ariza,14.2,2.1,2.9,0.7,0.4,5.2,6.0,0.9,1.6,1.8,0.9,3.6,4.1,0.9,0.2,12.1,6.8,9.4,5.1,2.8,10.0,4.4,22.5,36.53,All - Star
99,PF,Danny Ferry,12.6,4.2,3.3,0.4,0.9,4.8,6.1,0.8,2.5,2.8,0.9,2.3,3.3,0.7,0.5,10.1,12.1,12.0,3.5,5.6,9.2,7.0,13.4,36.41,All - Star
100,PG,Mike Conley,10.2,1.4,8.4,2.5,0.1,4.0,4.7,0.8,2.4,2.6,0.9,1.6,2.1,0.8,0.6,8.9,5.6,21.0,12.5,1.0,7.7,8.7,7.1,36.25,All - Star
101,PF,Thaddeus Young,11.0,3.7,2.8,0.5,1.3,4.4,5.1,0.9,2.2,2.4,0.9,2.2,2.6,0.8,0.2,9.3,10.7,10.0,4.5,8.0,8.4,6.2,15.3,36.23,All - Star
102,C,Shawn Bradley,7.9,7.4,3.2,0.2,2.6,3.5,3.9,0.9,2.9,3.0,0.9,0.6,0.9,0.7,0.3,7.1,18.5,12.9,1.5,12.9,6.7,8.6,4.1,36.13,All - Star
103,SG,Desmond Mason,15.0,2.3,2.4,0.5,0.5,5.7,6.6,0.9,2.8,3.3,0.9,2.9,3.3,0.9,0.5,13.2,8.4,6.9,3.1,4.4,11.0,9.5,15.3,35.83,All - Star
