Rank,Position,Players,GP%,PPG,O.RPG,RPG,APG,SPG,BPG,TOPG,FGM,FGA,FG%,3PM,3PA,3PT %,TS%,FTR,Game Score
1,SF,Terry Dischinger,94.29%,33.1,0.4,7.1,6.3,1.7,0.8,0.3,13.8,16.7,82.55%,4.4,6.2,70.24%,89.24%,1.3,47.86
2,C,Kareem Abdul - Jabbar,100.00%,30.2,1.9,16.7,2.8,0.7,7.2,0.3,14.3,15.5,92.27%,0.7,1.2,58.06%,90.69%,0.76,47.32
3,SF,Kevin Durant,100.00%,32.6,0.5,7.8,4.4,1.2,1.4,0.4,14.4,17.3,83.28%,3.2,5,63.64%,85.77%,1.21,44.95
4,PG,Magic Johnson,100.00%,19.6,0.8,6.3,15.2,5.2,1.1,1,9.1,9.7,93.42%,0.2,0.3,75.00%,85.75%,1.16,44.21
5,C,Shaquille O'Neal,100.00%,26.3,2.3,13.8,3.3,0.5,6.9,0.1,12.7,13.2,96.22%,0,0,50.00%,90.01%,0.94,43.63
6,C,Hakeem Olajuwon,100.00%,22.1,2.8,15.4,4.2,0.6,7.2,0.3,10.5,11.4,92.22%,0.4,0.8,51.43%,88.77%,0.69,40.59
7,PF,Anthony Davis,100.00%,29.8,1.4,8,2.6,0.6,2.8,0,13.6,17,80.00%,1.4,3.2,43.75%,79.50%,1.2,40.31
8,SG,Zach Lavine,100.00%,28.4,0.2,3.7,4.8,1.2,0.5,0.3,11.6,15.5,74.79%,4.4,7.4,59.70%,85.34%,0.76,38.57
9,PF,Karl Malone,100.00%,24.7,1,8.2,3.8,0.8,1.7,0.2,10.4,12.8,81.53%,2.7,4.2,65.07%,86.48%,1.04,37.68
10,PG,Damian Lillard,100.00%,23.5,0.2,2.6,7.7,2.3,0.1,0.4,9.1,13.9,65.27%,4.6,8.8,52.62%,78.39%,0.76,37.26
11,C,DeMarcus Cousins,100.00%,20.4,2.3,12.8,2.6,0.3,5.2,0.1,8.7,10.3,84.05%,1,1.9,49.43%,85.57%,1.09,36.26
12,PF,Blake Griffin,100.00%,19.8,1.4,12.1,5.1,0.3,3.1,0.2,8.8,10.4,84.76%,1.6,2.7,59.17%,87.78%,0.62,35.64
13,PF,Victor Wembanyama,80.00%,26.8,1.7,13.3,2.9,0.6,6.5,0.2,12.6,13.4,94.17%,1.4,2.1,65.67%,92.06%,0.78,34.89
14,SG,Jerry West,100.00%,21.1,0.2,1.8,5.7,1.8,0.3,0.2,8.2,11,74.77%,3.7,6,62.08%,86.25%,0.83,34.39
15,PF,Paolo Banchero,100.00%,22.2,1.2,8.8,4.7,0.5,1.4,0.2,9.6,12.5,76.66%,2.1,4.1,51.05%,80.59%,0.88,34.2
16,C,Marc Gasol,100.00%,15.2,2.4,12.6,3.5,0.3,5.8,0.1,6.6,7.6,86.34%,1,1.7,62.67%,85.33%,0.87,32.89
17,SG,Jimmy Butler,100.00%,20.7,0.4,3.9,4.4,1.7,0.7,0.3,8.8,10.8,81.21%,2.6,3.8,68.21%,91.13%,0.38,31.35
18,SG,J.R Smith,100.00%,16,0.2,2.6,5.4,2.6,0.6,0.2,6.2,8.6,72.09%,3.6,5.6,64.29%,92.87%,0,30.23
19,PG,De'Aaron Fox,80.00%,19.7,0.4,2.7,9.4,2.9,0.1,0.4,7.2,9.5,75.66%,1.9,3.3,57.14%,95.33%,0.54,29.88
20,PF,James Worthy,100.00%,17,0.7,6.7,4.7,1,1,0.2,7.4,8.7,84.48%,1.9,2.9,63.79%,85.04%,0.9,29.8
