Position,Players,PPG,RPG,APG,SPG,BPG,FGM,FGA,FG %,2PM,2PA,2PT%,3PM,3PA,3PT %,FTM,Scoring Rating,Rebound Rating,Assist Rating,Steal Rating,Block Rating,Efficiency Rating,2-Pointer Rating,3-Poimter Rating,Overall Rating
PF,Giannis Antetokounmpo,32.3,9.5,7.8,3.6,3.8,13.9,15.6,89.13%,10.2,11.1,92.06%,3.7,4.5,81.89%,2.4,30.44,27.29,28.26,31.14,23.83,26.73,29.4,25.1,111.1
SG,Michael Jordan,35.2,5.2,8.3,3.4,1.3,14.3,16.3,87.64%,10.4,11.4,90.91%,3.9,4.9,80.07%,2.3,32.33,18.98,23.84,21.14,11.3,27.52,36.8,18.81,95.35
SF,Larry Bird,30,7.4,8.9,0.6,2.1,10.9,12,90.99%,3.8,3.8,98.90%,7.2,8.2,87.34%,0.7,26.96,24.1,28.91,4.38,15.78,21.03,11.59,44.84,88.8
SF,Kevin Durant,34.8,7,6,1.3,1.3,13.8,15.7,87.50%,8.7,9.8,88.17%,5.1,5.9,86.39%,2,31.58,22.7,19.39,10.08,10.08,26.48,23.89,31.46,87.83
C,David Robinson,27.3,12.6,5.3,1.4,3.6,11.7,13.1,89.62%,9.6,10.1,95.74%,2.1,3,69.05%,1.8,25.58,31.61,21,13.57,18.04,22.53,28.85,13.62,87.4
SF,Kawhi Leonard,29.9,6.1,5.2,2.6,1.6,12.6,14.3,88.08%,7.7,8.6,90.21%,4.8,5.7,84.86%,1.6,27.12,19.96,16.77,19.65,11.85,24.15,21.82,29.22,85.27
SF,LeBron James,28,6.9,9.1,1.5,1.5,11.4,13.1,86.56%,7.8,8.7,90.46%,3.5,4.5,78.99%,1.9,25.48,22.43,29.58,11.06,11.25,21.83,22.12,19.89,81.81
PG,James Harden,28.5,5.2,11.3,2.3,1.1,10.8,12.5,86.52%,6.1,6.7,91.04%,4.7,5.8,82.03%,2.5,26.65,20.8,28.25,11.5,11,20.77,21.69,22.95,81.81
PF,Evan Mobley,25.8,9.2,5.4,0.6,3.6,10.5,12.2,85.77%,7.2,8,90.33%,3.3,4.2,77.22%,1.7,23.23,26.58,19.55,4.88,22.64,20.15,20.31,21.1,79.22
PF,Kevin Garnett,24.4,9.6,4.7,1.7,2.7,10.9,11.7,93.57%,9.7,10.2,95.70%,1.2,1.5,79.17%,1.5,23.71,27.49,16.92,14.77,16.67,20.99,29.1,7.83,78.74
C,Nikola Jokic,18,12.3,10.2,0.6,3.1,7.5,8.9,84.62%,6.5,7.3,88.37%,1,1.5,66.67%,1.7,16.63,30.73,40.88,5.85,15.73,14.45,17.92,6.5,74.34
C,Shaquille O'Neal,24.3,10.5,3.8,0.8,3.5,10.9,11.7,92.88%,10.2,10.7,95.13%,0.7,1,69.39%,1.9,23.93,26.15,15.08,8.33,17.71,20.91,30.22,4.68,73.51
SG,John Havlicek,20.2,5.6,8.4,4,0.8,7.8,8.7,90.05%,3.7,3.8,95.73%,4.1,4.8,85.58%,0.6,18.05,20.32,24.27,24.85,6.92,14.98,13.65,21.09,72.07
PG,LaMelo Ball,20.5,4.3,10.8,5,0.7,7.6,8.6,89.24%,3.4,3.7,93.09%,4.2,4.9,86.35%,0.9,18.6,17.33,27.01,24.8,7.06,14.71,12.48,21.67,71.83
C,Karl-Anthony Towns,23.9,9.2,4.1,1.1,2.5,9.6,11.8,81.28%,6,6.7,89.55%,3.6,5.1,70.30%,1.2,20,23,16.2,10.5,12.5,18.37,16.79,23.77,70.56
PF,Zion Williamson,25.2,7,3.7,0.5,2,10.3,10.8,95.35%,7.2,7.4,97.30%,3.1,3.4,90.84%,1.7,25.05,20.13,13.41,4.38,12.5,19.81,21.89,23.47,70.32
C,Hakeem Olajuwon,20.3,9.9,5.9,0.6,4,9,10,90.00%,8.3,8.8,94.21%,0.7,1.2,59.38%,2,19.94,24.81,23.77,5.85,19.81,17.31,24.38,4.05,69.97
C,Dwight Howard,23,10.5,5.3,0.5,3.6,9.9,12,82.18%,8.9,10.3,86.41%,1,1.7,59.76%,1.5,19.91,26.25,21.2,5,18,19.04,24.03,5.69,69.56
SG,Paul George,27.7,5.1,4.8,2.4,1,10.7,13.1,81.49%,5.5,6.5,85.24%,5.2,6.6,77.81%,0.9,22.7,18.41,13.87,14.71,8.75,20.59,14.78,23.88,68.84
C,Joel Embiid,22.8,9.3,3.7,0.6,2.9,10.2,11.3,90.58%,8.4,8.6,97.67%,1.8,2.7,66.27%,1.3,21.33,23.25,14.8,6,14.5,19.62,25.64,11.36,68.25
C,Wilt Chamberlain,18.8,11,4.5,0.6,4.5,8.6,9.1,94.74%,8.2,8.6,95.62%,0.4,0.5,80.77%,1,18.28,27.45,18,5.83,22.4,16.59,24.47,3.37,68.19
SG,Dwyane Wade,26.1,4.5,6.2,1.9,1.1,10.3,12,85.90%,5.7,6.5,88.18%,4.6,5.5,83.21%,0.7,22.32,16.35,17.87,12.01,9.44,19.76,15.72,22.63,68.05
PF,Dirk Nowitzki,22.1,8.5,3.8,0.4,2.9,9.6,10.8,88.57%,6.9,7.3,94.62%,2.7,3.5,75.98%,0.9,19.79,24.41,13.86,3.77,18.38,18.4,20.41,16.88,67.95
SF,George Gervin,27.4,5.7,4.2,0.7,1.1,11.2,13.4,83.11%,6.6,7.4,90.02%,4.5,6.1,74.73%,1.9,24.09,20.66,11.98,4.06,9.92,21.44,23.27,20.16,67.79
PF,Danny Granger,21.4,7.2,4.3,1.1,1.8,8.1,8.9,90.96%,3.8,3.9,96.15%,4.3,5,86.87%,0.3,18.84,20.7,15.59,9.19,11.25,15.48,11.27,31.13,66.72
PF,Ben Simmons,16.8,6.8,10.9,1.1,1.5,6.6,7.9,82.61%,4.8,5.4,88.89%,1.8,2.5,70.50%,1.1,14.62,19.55,39.51,9.63,9.38,12.69,16.67,10.58,66.31
PG,Kyrie Irving,27.5,2.7,4.3,4,0.5,10.6,12.2,86.85%,5.3,5.8,91.86%,5.3,6.4,82.30%,1.1,24.12,10.84,10.72,20.13,5.26,20.39,15.33,25.78,66.3
PF,Grant Hill,21,4.7,5.1,2.1,1.9,8.6,9.6,90.00%,6.4,6.8,94.27%,2.2,2.7,79.37%,1.3,19.7,13.63,18.6,18.26,11.68,16.56,18.96,14.38,65.88
PG,Penny Hardaway,14.8,4.9,9.8,5,0.9,5.9,6.9,84.81%,3.1,3.5,88.73%,2.8,3.4,80.85%,0.4,12.4,19.51,24.39,25,9.02,11.26,8.52,13.38,61.74
C,Ralph Samson,13.4,11.6,5.3,0.3,4.8,6.3,6.7,94.20%,5.9,6,98.11%,0.4,0.6,57.14%,1,13.32,28.98,21.09,3.18,23.86,12.06,18.12,1.98,61.3
SF,Carmelo Anthony,25.3,4.2,3.7,1.3,0.5,10.3,12,85.66%,6.2,6.7,91.94%,4.1,5.2,77.59%,1.1,22.1,13.57,11.87,9.78,3.59,19.73,17.8,22.53,60.48
SG,Luka Doncic,21.3,4,8.3,1.8,0.5,8,9.2,86.89%,3.7,3.8,97.37%,4.3,5.4,80.05%,1.1,19.03,16,20.75,9,5,15.38,14.07,20.49,59.87
